"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"109ESPL26",1,0,100200.55,0,100200.55,0,0,0,""
"10NFL25-N9",100,1000,999,100000,99900,-100,-0.1,0,""
"115MFL26",2,0,10000,0,20000,0,0,0,""
"920EFSL26B",20,1000,981.81,20000,19636.2,-363.8,-1.82,0.06,""
"925OFSL26",5,0,9882.55,0,49412.75,0,0,0,""
"ETERNAL",31,239.65,256.85,7429.3,7962.35,533.05,7.17,-1.95,""
"GAIL",10,188.3,193.55,1883,1935.5,52.5,2.79,1.26,""
"GOLDBEES",82,57.16,80.48,4687.45,6599.36,1911.91,40.79,-0.92,""
"HDFCBANK",1,1660.5,1978.6,1660.5,1978.6,318.1,19.16,-0.01,""
"HINDZINC",6,660.48,525,3962.9,3150,-812.9,-20.51,4.53,""
"INFY",5,1360.46,1572.55,6802.3,7862.75,1060.45,15.59,0.54,""
"IOC",71,84.62,143.32,6007.87,10175.72,4167.85,69.37,1.8,""
"ITC",31,266.1,423.05,8249.17,13114.55,4865.38,58.98,0.48,""
"ITCHOTELS",3,408.06,218.2,1224.18,654.6,-569.58,-46.53,-0.07,""
"JIOFIN",5,106.96,304.25,534.82,1521.25,986.43,184.44,3.49,""
"JSWENERGY",35,285.73,534.85,10000.55,18719.75,8719.2,87.19,2.3,""
"JSWSTEEL",10,345.82,1008,3458.2,10080,6621.8,191.48,0.31,""
"KPITTECH",3,1284.28,1353.4,3852.85,4060.2,207.35,5.38,2.63,""
"LOWVOLIETF",713,14.84,21.63,10578.19,15422.19,4844,45.79,0.19,""
"LT",5,2394.2,3678.9,11971,18394.5,6423.5,53.66,0.62,""
"MIDCAPIETF",150,21.08,22.55,3161.5,3382.5,221,6.99,1.21,""
"MOM100",89,45.68,64.05,4065.22,5700.45,1635.23,40.22,1.15,""
"MON100",24,165.11,180.51,3962.52,4332.24,369.72,9.33,0.11,""
"NIFTYIETF",99,273.27,279.89,27053.8,27709.11,655.31,2.42,0.34,""
"NV20IETF",713,10.1,14.56,7199.22,10381.28,3182.06,44.2,0.28,""
"RELIANCE",10,1089.29,1448.6,10892.88,14486,3593.12,32.99,0.35,""
"SILVERADD",2,93.75,103.56,187.49,207.12,19.63,10.47,0.54,""
"TATAMOTORS",5,728,717.8,3640,3589,-51,-1.4,0.91,""
"TATAPOWER",35,290.11,406.2,10153.8,14217,4063.2,40.02,1.66,""
"TATATECH",3,1086,775.8,3258,2327.4,-930.6,-28.56,2.29,""
"VEDL",27,458.11,457.9,12369,12363.3,-5.7,-0.05,2.2,""
"WAAREEENER",1,3018,2806,3018,2806,-212,-7.02,-0.8,""
